"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"September 25, 2019",California,"Cathedral City","30900 block of San Gabriel Circle",1,0,N/A
"September 25, 2019",California,Stockton,"Tracy Blvd and Howard Rd",0,1,N/A
"September 25, 2019",Georgia,Macon,"210 Bradstone Circle",0,1,N/A
"September 25, 2019",Oklahoma,"Oklahoma City","2100 block of N Fonshill Ave",1,0,N/A
"September 25, 2019","North Carolina",Thomasville,"407 National Hwy",0,2,N/A
"September 25, 2019",Oklahoma,"Oklahoma City","1000 block of Reno Ave",1,0,N/A
"September 25, 2019",Texas,Spring,"800 block of Rayford Rd",1,0,N/A
"September 25, 2019",Tennessee,Louisville,"Snapp Rd",0,0,N/A
"September 25, 2019",California,Sacramento,"1400 block of 68th Ave",1,0,N/A
"September 25, 2019",Tennessee,Nashville,"400 block of Glenpark Dr",0,1,N/A
"September 25, 2019",Illinois,Chicago,"7101 S. Kedzie Ave",0,1,N/A
"September 25, 2019",Tennessee,Clarksville,"Dover Rd and Aurelia Lynn Dr",0,0,N/A
"September 25, 2019",Virginia,Norfolk,"Alexander St and Norview Ave",0,1,N/A
"September 25, 2019","District of Columbia",Washington,"300 Indiana Ave",0,0,N/A
"September 25, 2019","District of Columbia",Washington,"533 48th Pl NE",0,0,N/A
"September 25, 2019",Maryland,"Gwynn Oak (Woodlawn)","3000 block of Fairview Rd",1,0,N/A
"September 25, 2019","New Hampshire",Concord,"270 Loudon Road",2,0,N/A
"September 25, 2019",Delaware,Dover,"865 N DuPont Hwy",0,3,N/A
"September 25, 2019",Texas,Converse,"700 block of Meadowgate",0,0,N/A
"September 25, 2019",California,"San Bernardino","600 block of E 9th St",1,0,N/A
"September 25, 2019",Colorado,"Colorado Springs","Airport Rd and Academy Blvd",0,1,N/A
"September 25, 2019",Texas,Dallas,"5209 S Lamar St",0,1,N/A
"September 25, 2019",Texas,Houston,"1100 block of Francitas Dr",2,1,N/A
"September 25, 2019","New York",Brooklyn,"1033 E 104th St",0,1,N/A
"September 25, 2019",Tennessee,Chattanooga,"600 block of Belle Vista Ave",0,1,N/A
"September 25, 2019",Illinois,Belleville,"3701 W Main St",0,1,N/A
"September 25, 2019","New York",Lewiston,"5795 Lewiston Rd",0,0,N/A
"September 25, 2019","North Carolina",Durham,"Nixon St",0,1,N/A
"September 25, 2019",Connecticut,Hartford,"Park Street and Hazel Street",0,1,N/A
"September 25, 2019",Michigan,Detroit,"7700 block of Prairie",0,1,N/A
"September 25, 2019","North Carolina",Jacksonville,"Catherine Lake Rd",0,0,N/A
"September 25, 2019","North Carolina",Lumberton,"916 E 2nd St",0,1,N/A
"September 25, 2019","South Carolina",Sumter,"Reona Ave and Wilma Ct",0,1,N/A
"September 25, 2019","South Carolina","North Charleston","3200 block of Spruill Ave",0,1,N/A
"September 25, 2019","South Carolina",Walterboro,"150 Cougar Nation Dr",0,0,N/A
"September 25, 2019",Missouri,"Saint Louis","3900 block of Ashland Ave",0,2,N/A
"September 25, 2019",California,"Los Angeles","700 block of E 108th St",0,1,N/A
"September 25, 2019","New Jersey",Newark,"100 block of Clinton Ave",0,1,N/A
"September 25, 2019",Georgia,Atlanta,"37 Lakeland Dr NE",1,0,N/A
"September 25, 2019",Florida,Orlando,"6750 Forest City Rd",0,0,N/A
"September 25, 2019",Illinois,Chicago,"11300 block of S Parnell Ave",1,0,N/A
"September 25, 2019",Arizona,Phoenix,"3455 W Glendale Ave",0,1,N/A
"September 25, 2019",Georgia,Savannah,"700 block of W 45th St",0,1,N/A
"September 25, 2019",Mississippi,Gulfport,"14221 Oneal Rd",1,1,N/A
"September 25, 2019","New York",Brooklyn,"2832 Brighton 7th St",0,1,N/A
"September 25, 2019",Ohio,"New Castle",N/A,0,0,N/A
"September 25, 2019",Ohio,Columbus,"2520 S Hamilton Rd",1,0,N/A
